### 2005
American Bath Flow and Rainfall Summary 2005
	2005-01-05		2005-02-05		2005-03-05		2005-04-05		2005-05-05		2005-06-05		2005-07-05		2005-08-05		2005-09-05		2005-10-05		2005-11-05		2005-12-05
DAY	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain
1	2.065	0.1	1.016	0	0.888	0	1.02	0.3	0.997	0.4	0.763	0	0.607	0	0.732	0	0.708	0.1	1.175	0.45	1.128	0.25	3.257	3.2
2	1.914	0.9	0.994	0	0.903	0	1.945	0	0.918	0.1	0.928	0.5	0.687	0	0.758	0	0.622	0.3	0.884	0	0.839	0	3.404	0.1
3	3.37	0.25	2.192	0.8	0.909	0	1.591	0.45	1.749	0.7	1.347	0.15	1.151	1	0.788	0	0.709	0.1	1.234	0.45	0.801	0	1.698	0
4	1.984	0.1	3.03	0.8	0.952	0	1.403	0.1	0.978	0	0.859	0	1.299	0.6	0.822	0.1	0.646	0	0.847	0	0.859	0	1.205	0
5	1.52	0.05	2.191	0.2	0.94	0	1.013	0	0.831	0	0.786	0	1.199	0.25	0.839	0	0.634	0	0.915	0.1	0.769	0	1.022	0
6	1.386	0.15	2.188	0	0.922	0.1	0.876	0	0.886	0	0.747	0	0.861	0	0.74	0	0.613	0	0.738	0	0.678	0	0.911	0
7	1.215	0	1.642	0	0.967	0.2	0.994	0.25	0.818	0	0.743	0	0.783	0	0.742	0	0.658	0	0.67	0	0.811	0.4	0.905	0
8	1.165	0	1.267	0	0.992	0	1.147	0.2	0.788	0	1.113	0.6	0.701	0	0.786	0	0.645	0	0.674	0	1.368	0.15	0.915	0
9	0.976	0	1.207	0	0.981	0.15	0.96	0	0.734	0	0.88	0.15	0.796	0	0.742	0	0.574	0	0.7	0	0.943	0	0.832	0
10	0.977	0	1.107	0	2.092	0.7	0.856	0	0.751	0	0.911	0	0.708	0	0.787	0	0.782	0	0.701	0	0.768	0	0.693	0
11	1.045	0.3	1.044	0	1.88	0.1	0.856	0	1.312	0.9	0.734	0	0.702	0	0.752	0	0.669	0	0.712	0	0.8	0	0.877	0
12	1.261	0.1	1.152	0.1	1.909	0.5	0.788	0	1.528	0.4	0.767	0	0.967	0.3	0.818	0	0.78	0.45	0.84	0.25	1.078	0.25	0.815	0
13	1.066	0.25	1.187	0.1	2.427	0.15	0.782	0	1.482	0.25	0.739	0	1.62	0.9	0.69	0	1.831	1.25	0.713	0	0.948	0	1.526	0.5
14	1.81	0	1.099	0	2.043	0.2	0.84	0.25	1.563	0.35	0.727	0	1.037	0	0.703	0	0.891	0	0.674	0	0.77	0	1.209	0
15	1.373	0	1.143	0	1.361	0	1.077	0.25	1.811	0.4	0.699	0	0.969	0.2	0.918	0.3	0.724	0	0.734	0	0.772	0	1.265	0
16	1.088	0	1.259	0.25	1.109	0	0.997	0	1.94	0.35	0.662	0	0.728	0	0.744	0	0.649	0	0.728	0	1.715	1.2	1.002	0
17	1.151	0.1	2.562	0.7	1.077	0	1.166	0.35	1.562	0.15	0.707	0	0.765	0	0.675	0	0.671	0	2.133	2.5	2.701	0.2	0.757	0
18	2.513	0.6	1.905	0	0.971	0	1.122	0	2.012	0.65	0.669	0	0.71	0.1	0.767	0	0.724	0	2.739	0.2	1.442	0	1.134	0.4
19	1.898	0	1.494	0	0.993	0	0.91	0	2.151	0.35	1.012	0.4	0.746	0	0.81	0.45	1.398	0.7	1.135	0	1.077	0	1.319	0
20	2.142	0	1.129	0	0.955	0	0.805	0	1.654	0	0.967	0.15	0.686	0	0.875	0	0.87	0	1.29	0.35	1.044	0	0.817	0
21	1.601	0.15	1.129	0	0.935	0	0.734	0	1.068	0	0.791	0.65	0.821	0.3	0.747	0	0.733	0	1.099	0.05	0.863	0	1.007	0.25
22	1.409	0	1.023	0	1.07	0	0.724	0	1.268	0	1.377	0.05	1.05	0.5	0.716	0	0.709	0	0.871	0.1	0.772	0	1.863	0.3
23	1.232	0	1.005	0	0.878	0	0.76	0.1	0.839	0	1.29	0.5	0.966	0	0.755	0	0.739	0	0.734	0	0.786	0	1.777	0.1
24	1.137	0	0.96	0	1.092	0	0.835	0	0.762	0	0.867	0	0.789	0	0.699	0	0.748	0	0.795	0	0.825	0	1.201	0
25	1.151	0	1.035	0	0.902	0.1	0.724	0	0.876	0.25	0.859	0	0.719	0	0.711	0	0.752	0	0.727	0	0.739	0	1.184	0
26	1.028	0.1	0.965	0	0.579	0.2	1.129	0.45	1.311	0.5	0.724	0	0.711	0	0.754	0.35	0.688	0	0.678	0	0.785	0	1.756	0.75
27	0.94	0	0.94	0	0.838	0	0.811	0	1.193	0	0.711	0	0.863	0.55	1.909	0.75	0.701	0	0.93	0.4	0.763	0	2.534	0
28	0.957	0	0.974	0	0.746	0.2	0.768	0	0.887	0	0.677	0	1.223	0.55	0.905	0.2	0.892	0.4	2.908	1	0.722	0	1.542	0
29	1.063	0.2			0.993	0.15	0.699	0	0.811	0	0.677	0	1.129	0	1.503	0.65	0.806	0.15	1.502	0.1	0.792	0	1.129	0
30	1.514	0.2			1.054	0	0.846	0	0.934	0	0.679	0	0.842	0	0.989	0.2	0.712	0	1.028	0	0.722	0.1	1.15	0
31	1.234	0			0.527	0			0.758	0			0.834	0	0.794	0			0.853	0			0.996	2.6
Total	43.12	3.45	37.823	2.95	33.997	2.75	28.158	2.4	36.175	5.35	24.649	3.15	27.062	5.25	25.238	3	22.57	3.35	31.186	5.5	27.952	2.3	38.445	5
Avg	1.43733333333333	0.115	1.40085185185185	0.109259259259259	1.13323333333333	0.0916666666666667	0.970965517241379	0.0827586206896552	1.20583333333333	0.178333333333333	0.849965517241379	0.108620689655172	0.902066666666667	0.175	0.841266666666667	0.1	0.778275862068966	0.11551724137931	1.03953333333333	0.183333333333333	0.963862068965517	0.0793103448275862	1.2815	0.166666666666667
Max	3.37	0.9	3.03	0.8	2.427	0.7	1.945	0.45	2.151	0.9	1.377	0.65	1.62	1	1.909	0.75	1.831	1.25	2.908	2.5	2.701	1.2	3.404	2.6
Min	0.94	0	0.94	0	0.527	0	0.699	0	0.734	0	0.662	0	0.686	0	0.675	0	0.574	0	0.67	0	0.678	0	0.693	0

### 2007
American Bath Flow and Rainfall Summary 2007
	2007-01-05		2007-02-06		2007-03-06		2007-04-06		2007-05-06		2007-06-06		2007-07-06		2007-08-06		2007-09-06		2007-10-06		2007-11-06		2007-12-06
DAY	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain	Flow	Rain
1	2.728	0.05	0.862	0	1.299	0.3	1.745	0.4	1.111	0	0.595	0	0.677	0	0.663	0	0.708	0	0.737	0	0.671	0	0.792	0
2	1.512	0	0.882	0	4.195	1	1.427	0	1.191	0.25	0.657	0	0.659	0	0.659	0	0.718	0	0.993	0.45	0.662	0	0.953	0.3
3	1.201	0	0.853	0	2.003	0	1.125	0	1.077	0	0.632	0	0.627	0	0.648	0	0.674	0	0.82	0.15	0.7	0	2.286	0.75
4	1.091	0	0.893	0	1.664	0	1.125	0.1	1.109	0	0.879	0.35	0.632	0	0.582	0	0.723	0	0.817	0.1	0.722	0	1.521	0
5	1.35	0.3	0.888	0	1.317	0	1.047	0	0.736	0	1.083	0.5	0.633	0	0.804	0.75	0.74	0	0.741	0	0.725	0	0.994	0.35
6	3.34	2.8	0.865	0	1.08	0	0.99	0	0.868	0	0.789	0	0.64	0	1.664	0.8	0.728	0	0.718	0	0.684	0	0.998	0.1
7	2.949	0	0.873	0.15	0.998	0	1.017	0	0.942	0	0.632	0	0.657	0	0.778	0	0.729	0	0.801	0	0.72	0	0.894	0.1
8	2.164	0.25	0.835	0	0.981	0	1.047	0	0.809	0	0.648	0	0.639	0	0.762	0	1.048	0.45	0.746	0	0.676	0	0.866	0
9	1.586	0	0.809	0	0.941	0	1.017	1	0.807	0	0.685	0	0.616	0	0.696	0	2.256	2.1	0.76	0	0.697	0	1.106	0
10	1.219	0	0.818	0	0.997	0	0.958	0	0.911	0.1	0.671	0	0.676	0	1.136	0.6	2.086	0	0.714	0	0.735	0	2.162	0.5
11	1.108	0	0.841	0	1.151	0	0.863	0	0.844	0	0.678	0	0.681	0.15	0.949	0	1.118	0.05	0.741	0.05	0.718	0.25	1.504	0.1
12	1.058	0.1	0.908	0	1.05	0	2.491	0.9	0.819	0	0.667	0	0.706	0	0.678	0	0.744	0	0.77	0	1.099	0.25	2.862	1.45
13	2.819	1.7	0.773	0.2	1.098	0	1.861	0.15	0.831	0	0.618	0	0.701	0	0.661	0	0.934	0	0.756	0	1.496	0.75	2.919	0.4
14	3.338	0.3	0.925	0.7	1.135	0.5	1.281	0	0.816	0	0.662	0	0.672	0	0.674	0	0.786	0	0.695	0	1.068	0	2.43	0.1
15	3.66	1.6	0.912	0.3	2.92	1.5	1.618	0.55	0.784	0	0.677	0	0.626	0	0.651	0	0.678	0	0.673	0	0.86	0	1.379	0
16	3.504	0.1	0.926	0	3.105	0	2.055	0	0.863	0.15	0.612	0	0.673	0	0.786	0.35	0.78	0	0.666	0	0.874	0.1	1.282	0.6
17	1.867	0	0.878	0	2.059	0	1.362	0	0.866	0.1	0.63	0	0.619	0	0.83	0	0.741	0	0.828	0.25	0.746	0	1.729	0
18	1.311	0	0.864	0.1	1.193	0	1.095	0	0.951	0	0.627	0	0.794	0.3	0.667	0	0.744	0	0.714	0.1	0.776	0	1.38	0
19	1.182	0	0.847	0	1.225	0.25	1.016	0	0.788	0	0.638	0	0.972	0.6	0.671	0.5	0.676	0	0.792	0.15	0.726	0	1.159	0
20	1.012	0	0.922	0	2.01	0.25	0.976	0	0.845	0	0.646	0	0.904	0.1	1.266	0.8	0.712	0	0.716	0	0.91	0	1.55	0
21	1.154	0.2	1.094	0	1.379	0.15	0.987	0	0.843	0	0.629	0	0.73	0	4.057	5.5	0.732	0	0.661	0	0.596	0	1.255	0
22	0.995	0.15	1.287	0	1.439	0.05	0.97	0	0.815	0	0.593	0	0.673	0	3.341	1.9	0.68	0	0.722	0	2.114	1.55	1.734	0
23	1.064	0	1.04	0	1.883	0.7	0.807	0	0.808	0	0.571	0	0.656	0	3.048	0	0.784	0	1.547	1.2	1.71	0	2.461	0.3
24	0.924	0	1.011	0	3.436	0.7	0.901	0	0.82	0	0.671	0	0.668	0	1.584	0	0.737	0	1.374	0.15	1.001	0	2.151	0
25	0.971	0.1	1.453	0.5	2.696	0	0.897	0.45	0.796	0	0.706	0	0.595	0	1.194	0.25	0.723	0	0.868	0	0.857	0	1.345	0
26	0.947	0	2.095	0	1.806	0	2.707	0.9	0.885	0.1	0.773	0	0.662	0.05	1.028	0	0.739	0	0.794	0	1.192	0.5	0.962	0
27	0.885	0	1.55	0	1.398	0	3.639	1.2	0.911	0	0.63	0	0.722	0.15	0.911	0	1.021	0.4	0.743	0.2	2.215	0.6	0.964	0.1
28	1.024	0	1.202	0	1.167	0	2.514	0.15	0.74	0	0.661	0	0.656	0	0.633	0	0.765	0	0.829	0	1.243	0.1	1.167	0
29	1.032	0.5			1.597	0.4	1.628	0	0.747	0	1.435	1	0.651	0	1.056	0	0.752	0	0.789	0	1.039	0	1.405	0.2
30	0.897	0.4			1.313	0	1.294	0	0.964	0	0.738	0	0.74	0	0.808	0	0.684	0	0.95	0	0.848	0	1.2	0
31	0.898	0			1.11	0			0.405	0			0.701	0	0.837	0			0.415	0			1.043	0
Total	50.79	8.55	28.106	1.95	51.645	5.8	42.46	5.8	26.702	0.7	21.133	1.85	21.258	1.35	34.722	11.45	25.94	3	24.89	2.8	29.08	4.1	46.453	5.35
Avg	1.63838709677419	0.275806451612903	1.00378571428571	0.0696428571428572	1.66596774193548	0.187096774193548	1.41533333333333	0.193333333333333	0.861354838709677	0.0225806451612903	0.704433333333333	0.0616666666666667	0.685741935483871	0.0435483870967742	1.12006451612903	0.369354838709677	0.864666666666667	0.1	0.802903225806452	0.0903225806451613	0.969333333333333	0.136666666666667	1.49848387096774	0.17258064516129
Max	3.66	2.8	2.095	0.7	4.195	1.5	3.639	1.2	1.191	0.25	1.435	1	0.972	0.6	4.057	5.5	2.256	2.1	1.547	1.2	2.215	1.55	2.919	1.45
Min	0.885	0	0.773	0	0.941	0	0.807	0	0.405	0	0.571	0	0.595	0	0.582	0	0.674	0	0.415	0	0.596	0	0.792	0
