election,election_date,section,contest,choice,total,vote_pct,election_day,absentee,provisional
2024 General Election,2024-11-05,contest,For State Senator (12th District),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For State Representative (78th District),Rep Matt Huffman,"35,918",76.67%,"21,879","13,566",473
2024 General Election,2024-11-05,contest,For State Representative (78th District),Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For State Representative (78th District),Undervotes,"10,927",23.33%,"5,550","5,163",214
2024 General Election,2024-11-05,contest,For State Representative (78th District),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Judge of the Court of Appeals (2-9-25) (3rd District),Rep John R. Willamowski,"35,794",76.41%,"21,697","13,637",460
2024 General Election,2024-11-05,contest,For Judge of the Court of Appeals (2-9-25) (3rd District),Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Appeals (2-9-25) (3rd District),Undervotes,"11,051",23.59%,"5,732","5,092",227
2024 General Election,2024-11-05,contest,For Judge of the Court of Appeals (2-9-25) (3rd District),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For County Commissioner (1-2-25),Rep Cory Noonan,"35,477",75.73%,"21,471","13,550",456
2024 General Election,2024-11-05,contest,For County Commissioner (1-2-25),Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For County Commissioner (1-2-25),Undervotes,"11,368",24.27%,"5,958","5,179",231
2024 General Election,2024-11-05,contest,For County Commissioner (1-2-25),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For County Commissioner (1-3-25),Rep Beth Seibert,"35,409",75.59%,"21,402","13,553",454
2024 General Election,2024-11-05,contest,For County Commissioner (1-3-25),Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For County Commissioner (1-3-25),Undervotes,"11,436",24.41%,"6,027","5,176",233
2024 General Election,2024-11-05,contest,For County Commissioner (1-3-25),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Prosecuting Attorney,Rep Destiny Caldwell,"35,184",75.11%,"21,389","13,336",459
2024 General Election,2024-11-05,contest,For Prosecuting Attorney,Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For Prosecuting Attorney,Undervotes,"11,661",24.89%,"6,040","5,393",228
2024 General Election,2024-11-05,contest,For Prosecuting Attorney,Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Clerk of the Court of Common Pleas,Rep Jennifer McBride,"35,302",75.36%,"21,432","13,407",463
2024 General Election,2024-11-05,contest,For Clerk of the Court of Common Pleas,Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For Clerk of the Court of Common Pleas,Undervotes,"11,543",24.64%,"5,997","5,322",224
2024 General Election,2024-11-05,contest,For Clerk of the Court of Common Pleas,Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Sheriff,Rep Matthew B. Treglia,"36,725",78.40%,"22,203","14,045",477
2024 General Election,2024-11-05,contest,For Sheriff,Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For Sheriff,Undervotes,"10,120",21.60%,"5,226","4,684",210
2024 General Election,2024-11-05,contest,For Sheriff,Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For County Recorder,Rep Mona S. Losh,"35,424",75.62%,"21,460","13,502",462
2024 General Election,2024-11-05,contest,For County Recorder,Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For County Recorder,Undervotes,"11,421",24.38%,"5,969","5,227",225
2024 General Election,2024-11-05,contest,For County Recorder,Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For County Treasurer,Rep Krista Bohn,"35,509",75.80%,"21,528","13,519",462
2024 General Election,2024-11-05,contest,For County Treasurer,Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For County Treasurer,Undervotes,"11,336",24.20%,"5,901","5,210",225
2024 General Election,2024-11-05,contest,For County Treasurer,Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For County Engineer,Rep Brion Rhodes,"35,495",75.77%,"21,501","13,533",461
2024 General Election,2024-11-05,contest,For County Engineer,Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For County Engineer,Undervotes,"11,350",24.23%,"5,928","5,196",226
2024 General Election,2024-11-05,contest,For County Engineer,Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Coroner,Rep John T. Meyer,"35,598",75.99%,"21,556","13,573",469
2024 General Election,2024-11-05,contest,For Coroner,Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For Coroner,Undervotes,"11,247",24.01%,"5,873","5,156",218
2024 General Election,2024-11-05,contest,For Coroner,Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Member of State Board of Education (1st District),Kristie Reighard,"32,202",68.74%,"19,532","12,259",411
2024 General Election,2024-11-05,contest,For Member of State Board of Education (1st District),Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For Member of State Board of Education (1st District),Undervotes,"14,643",31.26%,"7,897","6,470",276
2024 General Election,2024-11-05,contest,For Member of State Board of Education (1st District),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Rep Terri L. Kohlrieser,"34,790",74.27%,"20,789","13,562",439
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Undervotes,"12,055",25.73%,"6,640","5,167",248
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),State Issue 1 NO,"31,907",68.11%,"19,441","12,072",394
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),YES,"13,466",28.75%,"7,142","6,098",226
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Overvotes,18,0.04%,10,8,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Undervotes,"1,454",3.10%,836,551,67
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Contest Totals,"46,845",100.00%,"27,429","18,729",687
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Proposed Municipal Income Tax - Village of Bluffton For the Income Tax,"1,411",68.93%,933,454,24
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Against the Income Tax,530,25.89%,352,168,10
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Undervotes,106,5.18%,74,32,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Contest Totals,"2,047",100.00%,"1,359",654,34
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Proposed Municipal Income Tax - Village of Elida Against the Income Tax,765,67.05%,459,301,5
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),For the Income Tax,328,28.75%,214,112,2
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Overvotes,1,0.09%,0,1,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Undervotes,47,4.12%,30,17,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Contest Totals,"1,141",100.00%,703,431,7
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Local Option - Lima 3B Yes,279,72.47%,131,130,18
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),No,70,18.18%,24,41,5
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Undervotes,36,9.35%,17,18,1
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Contest Totals,385,100.00%,172,189,24
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Local Liquor Option - Lima 5D Yes,222,64.35%,128,89,5
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),No,101,29.28%,56,41,4
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Overvotes,1,0.29%,1,0,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Undervotes,21,6.09%,12,6,3
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Contest Totals,345,100.00%,197,136,12
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Local Option - Bluffton B Yes,469,73.28%,320,141,8
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),No,143,22.34%,89,50,4
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Overvotes,1,0.16%,0,1,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Undervotes,27,4.22%,17,10,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Contest Totals,640,100.00%,426,202,12
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Proposed Income Tax (Renewal) - Columbus Grove Local School District For the Tax,211,68.95%,128,80,3
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Against the Tax,91,29.74%,59,32,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Overvotes,0,0.00%,0,0,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Undervotes,4,1.31%,3,1,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Contest Totals,306,100.00%,190,113,3
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Proposed Tax Levy (Renewal) - Mental Health & Recovery Services Board For the Tax Levy,"28,005",59.78%,"16,226","11,412",367
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Against the Tax Levy,"16,515",35.25%,"9,856","6,417",242
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Overvotes,9,0.02%,6,3,0
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Undervotes,"2,316",4.94%,"1,341",897,78
2024 General Election,2024-11-05,contest,For Judge of the Court of Common Pleas (1-1-25),Contest Totals,"46,845",100.00%,"27,429","18,729",687
