election,election_date,section,contest,choice,total,vote_pct,election_day,absentee,provisional
2019 General Election,2019-11-05,contest,For City Director of Law - Delphos,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For City Director of Law - Delphos,Undervotes,75,12.91%,60,15,0
2019 General Election,2019-11-05,contest,For City Director of Law - Delphos,Contest Totals,581,100.00%,509,70,2
2019 General Election,2019-11-05,contest,For Council at Large - Delphos,Joshua Bayliff,394,22.60%,347,46,1
2019 General Election,2019-11-05,contest,For Council at Large - Delphos,Joseph Dray,347,19.91%,299,47,1
2019 General Election,2019-11-05,contest,For Council at Large - Delphos,Write-In Totals,36,2.07%,36,0,0
2019 General Election,2019-11-05,contest,For Council at Large - Delphos,Write-In: Not Valid,23,1.32%,23,0,0
2019 General Election,2019-11-05,contest,For Council at Large - Delphos,Write-In: Scott Wiltsie,13,0.75%,13,0,0
2019 General Election,2019-11-05,contest,For Council at Large - Delphos,Not Assigned,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Council at Large - Delphos,Total Votes Cast,777,44.58%,682,93,2
2019 General Election,2019-11-05,contest,For Council at Large - Delphos,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Council at Large - Delphos,Undervotes,966,55.42%,845,117,4
2019 General Election,2019-11-05,contest,For Council at Large - Delphos,Contest Totals,"1,743",100.00%,"1,527",210,6
2019 General Election,2019-11-05,contest,For President of City Council - Lima,Josiah Mathews,"1,109",34.02%,915,181,13
2019 General Election,2019-11-05,contest,For President of City Council - Lima,John G. Nixon,"1,988",60.98%,"1,607",359,22
2019 General Election,2019-11-05,contest,For President of City Council - Lima,Total Votes Cast,"3,097",95.00%,"2,522",540,35
2019 General Election,2019-11-05,contest,For President of City Council - Lima,Overvotes,1,0.03%,1,0,0
2019 General Election,2019-11-05,contest,For President of City Council - Lima,Undervotes,162,4.97%,124,34,4
2019 General Election,2019-11-05,contest,For President of City Council - Lima,Contest Totals,"3,260",100.00%,"2,647",574,39
2019 General Election,2019-11-05,contest,For Member of Council 2nd Ward - Lima,Sam McLean,227,37.27%,196,30,1
2019 General Election,2019-11-05,contest,For Member of Council 2nd Ward - Lima,Tony Wilkerson,378,62.07%,331,47,0
2019 General Election,2019-11-05,contest,For Member of Council 2nd Ward - Lima,Total Votes Cast,605,99.34%,527,77,1
2019 General Election,2019-11-05,contest,For Member of Council 2nd Ward - Lima,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council 2nd Ward - Lima,Undervotes,4,0.66%,4,0,0
2019 General Election,2019-11-05,contest,For Member of Council 2nd Ward - Lima,Contest Totals,609,100.00%,531,77,1
2019 General Election,2019-11-05,contest,For Member of Council 4th Ward - Lima,Peggy A. Ehora,570,63.69%,461,104,5
2019 General Election,2019-11-05,contest,For Member of Council 4th Ward - Lima,Rebecca Ruth Kreher,318,35.53%,269,45,4
2019 General Election,2019-11-05,contest,For Member of Council 4th Ward - Lima,Total Votes Cast,888,99.22%,730,149,9
2019 General Election,2019-11-05,contest,For Member of Council 4th Ward - Lima,Overvotes,1,0.11%,1,0,0
2019 General Election,2019-11-05,contest,For Member of Council 4th Ward - Lima,Undervotes,6,0.67%,2,4,0
2019 General Election,2019-11-05,contest,For Member of Council 4th Ward - Lima,Contest Totals,895,100.00%,733,153,9
2019 General Election,2019-11-05,contest,For Member of Council 6th Ward - Lima,Derry L. Glenn,269,55.69%,208,60,1
2019 General Election,2019-11-05,contest,For Member of Council 6th Ward - Lima,Cleven Jones,212,43.89%,160,47,5
2019 General Election,2019-11-05,contest,For Member of Council 6th Ward - Lima,Total Votes Cast,481,99.59%,368,107,6
2019 General Election,2019-11-05,contest,For Member of Council 6th Ward - Lima,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council 6th Ward - Lima,Undervotes,2,0.41%,2,0,0
2019 General Election,2019-11-05,contest,For Member of Council 6th Ward - Lima,Contest Totals,483,100.00%,370,107,6
2019 General Election,2019-11-05,contest,For Mayor - Beaverdam,Pamela S. LePine,46,83.64%,45,1,0
2019 General Election,2019-11-05,contest,For Mayor - Beaverdam,Total Votes Cast,46,83.64%,45,1,0
2019 General Election,2019-11-05,contest,For Mayor - Beaverdam,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Mayor - Beaverdam,Undervotes,9,16.36%,8,1,0
2019 General Election,2019-11-05,contest,For Mayor - Beaverdam,Contest Totals,55,100.00%,53,2,0
2019 General Election,2019-11-05,contest,For Member of Council - Beaverdam,"Franklin L. Gillette, Jr",48,43.64%,47,1,0
2019 General Election,2019-11-05,contest,For Member of Council - Beaverdam,Total Votes Cast,48,43.64%,47,1,0
2019 General Election,2019-11-05,contest,For Member of Council - Beaverdam,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council - Beaverdam,Undervotes,62,56.36%,59,3,0
2019 General Election,2019-11-05,contest,For Member of Council - Beaverdam,Contest Totals,110,100.00%,106,4,0
2019 General Election,2019-11-05,contest,For Mayor - Bluffton,REP Richard L. Johnson,594,85.47%,540,45,9
2019 General Election,2019-11-05,contest,For Mayor - Bluffton,Total Votes Cast,594,85.47%,540,45,9
2019 General Election,2019-11-05,contest,For Mayor - Bluffton,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Mayor - Bluffton,Undervotes,101,14.53%,85,15,1
2019 General Election,2019-11-05,contest,For Mayor - Bluffton,Contest Totals,695,100.00%,625,60,10
2019 General Election,2019-11-05,contest,For Council - Bluffton,Joseph W. Sehlhorst,594,42.73%,541,45,8
2019 General Election,2019-11-05,contest,For Council - Bluffton,Benjamin Stahl,516,37.12%,470,38,8
2019 General Election,2019-11-05,contest,For Council - Bluffton,Total Votes Cast,"1,110",79.86%,"1,011",83,16
2019 General Election,2019-11-05,contest,For Council - Bluffton,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Council - Bluffton,Undervotes,280,20.14%,239,37,4
2019 General Election,2019-11-05,contest,For Council - Bluffton,Contest Totals,"1,390",100.00%,"1,250",120,20
2019 General Election,2019-11-05,contest,For Mayor - Cairo,"Todd G. Wilkin, Jr",78,97.50%,76,2,0
2019 General Election,2019-11-05,contest,For Mayor - Cairo,Total Votes Cast,78,97.50%,76,2,0
2019 General Election,2019-11-05,contest,For Mayor - Cairo,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Mayor - Cairo,Undervotes,2,2.50%,1,0,1
2019 General Election,2019-11-05,contest,For Mayor - Cairo,Contest Totals,80,100.00%,77,2,1
2019 General Election,2019-11-05,contest,For Member of Council - Cairo,No Valid Petition Filed,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council - Cairo,Total Votes Cast,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council - Cairo,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council - Cairo,Undervotes,160,100.00%,154,4,2
2019 General Election,2019-11-05,contest,For Member of Council - Cairo,Contest Totals,160,100.00%,154,4,2
2019 General Election,2019-11-05,contest,For Mayor - Elida,Kim M. Hardy,161,41.49%,146,15,0
2019 General Election,2019-11-05,contest,For Mayor - Elida,Claude R. Paxton,217,55.93%,205,9,3
2019 General Election,2019-11-05,contest,For Mayor - Elida,Total Votes Cast,378,97.42%,351,24,3
2019 General Election,2019-11-05,contest,For Mayor - Elida,Overvotes,1,0.26%,1,0,0
2019 General Election,2019-11-05,contest,For Mayor - Elida,Undervotes,9,2.32%,9,0,0
2019 General Election,2019-11-05,contest,For Mayor - Elida,Contest Totals,388,100.00%,361,24,3
2019 General Election,2019-11-05,contest,For Member of Council - Elida,Jon Toby Jenkins,341,43.94%,316,23,2
2019 General Election,2019-11-05,contest,For Member of Council - Elida,Total Votes Cast,341,43.94%,316,23,2
2019 General Election,2019-11-05,contest,For Member of Council - Elida,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council - Elida,Undervotes,435,56.06%,406,25,4
2019 General Election,2019-11-05,contest,For Member of Council - Elida,Contest Totals,776,100.00%,722,48,6
2019 General Election,2019-11-05,contest,For Mayor - Harrod,Tony Blake,68,90.67%,63,4,1
2019 General Election,2019-11-05,contest,For Mayor - Harrod,Total Votes Cast,68,90.67%,63,4,1
2019 General Election,2019-11-05,contest,For Mayor - Harrod,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Mayor - Harrod,Undervotes,7,9.33%,7,0,0
2019 General Election,2019-11-05,contest,For Mayor - Harrod,Contest Totals,75,100.00%,70,4,1
2019 General Election,2019-11-05,contest,For Member of Council - Harrod,Andrew J. Caprella,57,38.00%,53,3,1
2019 General Election,2019-11-05,contest,For Member of Council - Harrod,Total Votes Cast,57,38.00%,53,3,1
2019 General Election,2019-11-05,contest,For Member of Council - Harrod,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council - Harrod,Undervotes,93,62.00%,87,5,1
2019 General Election,2019-11-05,contest,For Member of Council - Harrod,Contest Totals,150,100.00%,140,8,2
2019 General Election,2019-11-05,contest,For Member of Board of Trustees of Public Affairs - Harrod,No Valid Petition Filed,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Trustees of Public Affairs - Harrod,Total Votes Cast,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Trustees of Public Affairs - Harrod,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Trustees of Public Affairs - Harrod,Undervotes,75,100.00%,70,4,1
2019 General Election,2019-11-05,contest,For Member of Board of Trustees of Public Affairs - Harrod,Contest Totals,75,100.00%,70,4,1
2019 General Election,2019-11-05,contest,For Mayor - Lafayette,No Valid Petition Filed,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Mayor - Lafayette,Total Votes Cast,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Mayor - Lafayette,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Mayor - Lafayette,Undervotes,69,100.00%,60,5,4
2019 General Election,2019-11-05,contest,For Mayor - Lafayette,Contest Totals,69,100.00%,60,5,4
2019 General Election,2019-11-05,contest,For Member of Council - Lafayette,Matthew C. Hager,60,43.48%,51,5,4
2019 General Election,2019-11-05,contest,For Member of Council - Lafayette,Jeff McVicker,46,33.33%,40,4,2
2019 General Election,2019-11-05,contest,For Member of Council - Lafayette,Total Votes Cast,106,76.81%,91,9,6
2019 General Election,2019-11-05,contest,For Member of Council - Lafayette,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council - Lafayette,Undervotes,32,23.19%,29,1,2
2019 General Election,2019-11-05,contest,For Member of Council - Lafayette,Contest Totals,138,100.00%,120,10,8
2019 General Election,2019-11-05,contest,For Mayor - Spencerville,Phil Briggs,160,80.81%,136,24,0
2019 General Election,2019-11-05,contest,For Mayor - Spencerville,Total Votes Cast,160,80.81%,136,24,0
2019 General Election,2019-11-05,contest,For Mayor - Spencerville,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Mayor - Spencerville,Undervotes,38,19.19%,36,2,0
2019 General Election,2019-11-05,contest,For Mayor - Spencerville,Contest Totals,198,100.00%,172,26,0
2019 General Election,2019-11-05,contest,For Clerk-Treasurer - Spencerville,No Valid Petition Filed,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Clerk-Treasurer - Spencerville,Total Votes Cast,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Clerk-Treasurer - Spencerville,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Clerk-Treasurer - Spencerville,Undervotes,198,100.00%,172,26,0
2019 General Election,2019-11-05,contest,For Clerk-Treasurer - Spencerville,Contest Totals,198,100.00%,172,26,0
2019 General Election,2019-11-05,contest,For Member of Council - Spencerville VILLAGE OF SPENCERVILLE,Write-In Totals,46,11.62%,38,8,0
2019 General Election,2019-11-05,contest,For Member of Council - Spencerville VILLAGE OF SPENCERVILLE,Write-In: Not Valid,18,4.55%,14,4,0
2019 General Election,2019-11-05,contest,For Member of Council - Spencerville VILLAGE OF SPENCERVILLE,Write-In: Joshua L. Lyle,18,4.55%,15,3,0
2019 General Election,2019-11-05,contest,For Member of Council - Spencerville VILLAGE OF SPENCERVILLE,Write-In: Darrell Edward Pugin,10,2.53%,9,1,0
2019 General Election,2019-11-05,contest,For Member of Council - Spencerville VILLAGE OF SPENCERVILLE,Not Assigned,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council - Spencerville VILLAGE OF SPENCERVILLE,Total Votes Cast,46,11.62%,38,8,0
2019 General Election,2019-11-05,contest,For Member of Council - Spencerville VILLAGE OF SPENCERVILLE,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Council - Spencerville VILLAGE OF SPENCERVILLE,Undervotes,350,88.38%,306,44,0
2019 General Election,2019-11-05,contest,For Member of Council - Spencerville VILLAGE OF SPENCERVILLE,Contest Totals,396,100.00%,344,52,0
2019 General Election,2019-11-05,contest,For Township Trustee - Amanda,Brad J. Core,170,90.91%,144,24,2
2019 General Election,2019-11-05,contest,For Township Trustee - Amanda,Total Votes Cast,170,90.91%,144,24,2
2019 General Election,2019-11-05,contest,For Township Trustee - Amanda,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Amanda,Undervotes,17,9.09%,12,5,0
2019 General Election,2019-11-05,contest,For Township Trustee - Amanda,Contest Totals,187,100.00%,156,29,2
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Amanda,Brenda L. Core,168,89.84%,141,25,2
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Amanda,Total Votes Cast,168,89.84%,141,25,2
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Amanda,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Amanda,Undervotes,19,10.16%,15,4,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Amanda,Contest Totals,187,100.00%,156,29,2
2019 General Election,2019-11-05,contest,For Township Trustee - American,Larry K. Vandemark,"1,528",87.41%,"1,311",205,12
2019 General Election,2019-11-05,contest,For Township Trustee - American,Total Votes Cast,"1,528",87.41%,"1,311",205,12
2019 General Election,2019-11-05,contest,For Township Trustee - American,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - American,Undervotes,220,12.59%,187,29,4
2019 General Election,2019-11-05,contest,For Township Trustee - American,Contest Totals,"1,748",100.00%,"1,498",234,16
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - American,Brady M. Overholt,"1,516",86.73%,"1,301",201,14
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - American,Total Votes Cast,"1,516",86.73%,"1,301",201,14
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - American,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - American,Undervotes,232,13.27%,197,33,2
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - American,Contest Totals,"1,748",100.00%,"1,498",234,16
2019 General Election,2019-11-05,contest,For Township Trustee - Auglaize,Joe Fetter,115,25.56%,110,3,2
2019 General Election,2019-11-05,contest,For Township Trustee - Auglaize,Rusty Winegardner,330,73.33%,308,21,1
2019 General Election,2019-11-05,contest,For Township Trustee - Auglaize,Total Votes Cast,445,98.89%,418,24,3
2019 General Election,2019-11-05,contest,For Township Trustee - Auglaize,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Auglaize,Undervotes,5,1.11%,4,1,0
2019 General Election,2019-11-05,contest,For Township Trustee - Auglaize,Contest Totals,450,100.00%,422,25,3
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Auglaize,Melissa R. Marshall,400,88.89%,374,23,3
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Auglaize,Total Votes Cast,400,88.89%,374,23,3
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Auglaize,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Auglaize,Undervotes,50,11.11%,48,2,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Auglaize,Contest Totals,450,100.00%,422,25,3
2019 General Election,2019-11-05,contest,For Township Trustee - Bath,William F. Degen,"1,052",85.74%,911,133,8
2019 General Election,2019-11-05,contest,For Township Trustee - Bath,Total Votes Cast,"1,052",85.74%,911,133,8
2019 General Election,2019-11-05,contest,For Township Trustee - Bath,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Bath,Undervotes,175,14.26%,140,35,0
2019 General Election,2019-11-05,contest,For Township Trustee - Bath,Contest Totals,"1,227",100.00%,"1,051",168,8
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Bath,Lisa Cogley,"1,048",85.41%,905,135,8
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Bath,Total Votes Cast,"1,048",85.41%,905,135,8
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Bath,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Bath,Undervotes,179,14.59%,146,33,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Bath,Contest Totals,"1,227",100.00%,"1,051",168,8
2019 General Election,2019-11-05,contest,For Township Trustee - Jackson,Tommy Agler,208,35.99%,189,16,3
2019 General Election,2019-11-05,contest,For Township Trustee - Jackson,James I. Shilling,352,60.90%,318,27,7
2019 General Election,2019-11-05,contest,For Township Trustee - Jackson,Total Votes Cast,560,96.89%,507,43,10
2019 General Election,2019-11-05,contest,For Township Trustee - Jackson,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Jackson,Undervotes,18,3.11%,15,3,0
2019 General Election,2019-11-05,contest,For Township Trustee - Jackson,Contest Totals,578,100.00%,522,46,10
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Jackson,Brandt C. Miller,501,86.68%,453,39,9
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Jackson,Total Votes Cast,501,86.68%,453,39,9
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Jackson,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Jackson,Undervotes,77,13.32%,69,7,1
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Jackson,Contest Totals,578,100.00%,522,46,10
2019 General Election,2019-11-05,contest,For Township Trustee - Marion,Jerry A. Gilden,964,90.01%,859,103,2
2019 General Election,2019-11-05,contest,For Township Trustee - Marion,Total Votes Cast,964,90.01%,859,103,2
2019 General Election,2019-11-05,contest,For Township Trustee - Marion,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Marion,Undervotes,107,9.99%,94,13,0
2019 General Election,2019-11-05,contest,For Township Trustee - Marion,Contest Totals,"1,071",100.00%,953,116,2
2019 General Election,2019-11-05,contest,For Township Fiscal Officer -Marion,Robert C. Kimmet,944,88.14%,845,97,2
2019 General Election,2019-11-05,contest,For Township Fiscal Officer -Marion,Total Votes Cast,944,88.14%,845,97,2
2019 General Election,2019-11-05,contest,For Township Fiscal Officer -Marion,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer -Marion,Undervotes,127,11.86%,108,19,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer -Marion,Contest Totals,"1,071",100.00%,953,116,2
2019 General Election,2019-11-05,contest,For Township Trustee - Monroe,Jon E. Basinger,288,92.60%,267,21,0
2019 General Election,2019-11-05,contest,For Township Trustee - Monroe,Total Votes Cast,288,92.60%,267,21,0
2019 General Election,2019-11-05,contest,For Township Trustee - Monroe,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Monroe,Undervotes,23,7.40%,20,2,1
2019 General Election,2019-11-05,contest,For Township Trustee - Monroe,Contest Totals,311,100.00%,287,23,1
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Monroe,Amy S. Stechschulte,287,92.28%,266,21,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Monroe,Total Votes Cast,287,92.28%,266,21,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Monroe,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Monroe,Undervotes,24,7.72%,21,2,1
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Monroe,Contest Totals,311,100.00%,287,23,1
2019 General Election,2019-11-05,contest,For Township Trustee - Perry,Kevin W. Cox,279,90.88%,223,56,0
2019 General Election,2019-11-05,contest,For Township Trustee - Perry,Total Votes Cast,279,90.88%,223,56,0
2019 General Election,2019-11-05,contest,For Township Trustee - Perry,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Perry,Undervotes,28,9.12%,20,8,0
2019 General Election,2019-11-05,contest,For Township Trustee - Perry,Contest Totals,307,100.00%,243,64,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Perry,Natalie M. Scott,278,90.55%,219,59,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Perry,Total Votes Cast,278,90.55%,219,59,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Perry,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Perry,Undervotes,29,9.45%,24,5,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Perry,Contest Totals,307,100.00%,243,64,0
2019 General Election,2019-11-05,contest,For Township Trustee - Richland,Donald K. Brauen,976,88.65%,907,59,10
2019 General Election,2019-11-05,contest,For Township Trustee - Richland,Total Votes Cast,976,88.65%,907,59,10
2019 General Election,2019-11-05,contest,For Township Trustee - Richland,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Richland,Undervotes,125,11.35%,113,11,1
2019 General Election,2019-11-05,contest,For Township Trustee - Richland,Contest Totals,"1,101",100.00%,"1,020",70,11
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Richland,Trisha Nieman,500,45.41%,449,42,9
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Richland,Write-In Totals,480,43.60%,462,17,1
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Richland,Write-In: Neil J. Reicheubach,475,43.14%,457,17,1
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Richland,Write-In: Not Valid,5,0.45%,5,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Richland,Not Assigned,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Richland,Total Votes Cast,980,89.01%,911,59,10
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Richland,Overvotes,4,0.36%,4,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Richland,Undervotes,117,10.63%,105,11,1
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Richland,Contest Totals,"1,101",100.00%,"1,020",70,11
2019 General Election,2019-11-05,contest,For Township Trustee - Shawnee,Russell E. Holly,"1,078",58.75%,933,137,8
2019 General Election,2019-11-05,contest,For Township Trustee - Shawnee,Chris Seddelmeyer,702,38.26%,598,94,10
2019 General Election,2019-11-05,contest,For Township Trustee - Shawnee,Total Votes Cast,"1,780",97.00%,"1,531",231,18
2019 General Election,2019-11-05,contest,For Township Trustee - Shawnee,Overvotes,3,0.16%,3,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Shawnee,Undervotes,52,2.83%,41,11,0
2019 General Election,2019-11-05,contest,For Township Trustee - Shawnee,Contest Totals,"1,835",100.00%,"1,575",242,18
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Shawnee,John C. Newland,"1,522",82.94%,"1,318",188,16
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Shawnee,Total Votes Cast,"1,522",82.94%,"1,318",188,16
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Shawnee,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Shawnee,Undervotes,313,17.06%,257,54,2
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Shawnee,Contest Totals,"1,835",100.00%,"1,575",242,18
2019 General Election,2019-11-05,contest,For Township Trustee - Spencer,Rick Keller,265,92.98%,235,30,0
2019 General Election,2019-11-05,contest,For Township Trustee - Spencer,Total Votes Cast,265,92.98%,235,30,0
2019 General Election,2019-11-05,contest,For Township Trustee - Spencer,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Spencer,Undervotes,20,7.02%,18,2,0
2019 General Election,2019-11-05,contest,For Township Trustee - Spencer,Contest Totals,285,100.00%,253,32,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Spencer,Kathy Keller,254,89.12%,225,29,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Spencer,Total Votes Cast,254,89.12%,225,29,0
